Id,TPSA(Tot),SAacc,H-050,MLOGP,RDCHI,GATS1p,nN,C-040,LC50
0,0.0,0.0,0,2.419,1.225,0.667,0,0,3.74
1,0.0,0.0,0,2.638,1.401,0.632,0,0,4.33
2,9.23,11.0,0,5.799,2.93,0.486,0,0,7.019
3,9.23,11.0,0,5.453,2.887,0.495,0,0,6.723
4,9.23,11.0,0,4.068,2.758,0.695,0,0,5.979
5,215.34,327.629,3,0.189,4.677,1.333,0,4,6.064
6,9.23,11.0,0,2.723,2.321,1.165,0,0,7.337
7,0.0,0.0,0,3.267,2.318,0.963,0,0,4.1
8,0.0,0.0,0,2.067,1.8,1.25,0,0,3.941
9,0.0,0.0,0,2.746,1.667,1.4,0,0,3.809
10,0.0,0.0,0,3.124,1.8,1.417,0,0,4.34
11,12.03,18.011,1,0.817,1.8,1.488,1,0,3.93
12,69.67,97.435,0,3.122,3.723,1.26,0,2,7.371
13,23.79,31.059,0,0.094,1.334,1.115,1,1,3.78
14,92.14,107.097,1,4.275,4.174,1.174,1,1,4.112
15,0.0,0.0,0,2.851,1.989,0.938,0,0,3.533
16,0.0,0.0,0,1.115,1.0,0.588,0,0,4.632
17,35.53,47.145,0,4.579,3.875,1.124,0,1,7.693
18,17.07,25.145,0,0.202,1.225,1.66,0,0,0.673
19,34.14,50.29,0,0.076,1.654,1.493,0,0,3.323
20,67.51,103.973,1,3.204,3.344,0.938,0,1,2.955
21,49.33,85.839,2,1.06,2.272,1.007,1,1,4.216
22,122.22,155.543,2,1.406,3.511,1.456,5,2,2.593
23,18.46,22.0,0,1.262,2.147,1.576,0,0,2.272
24,3.24,3.124,0,9.148,5.497,1.559,1,0,5.96
25,12.03,18.011,1,6.728,4.392,1.554,1,0,6.537
26,54.57,41.028,0,5.65,4.026,1.575,0,0,7.1
27,118.22,238.562,5,2.201,3.83,1.214,0,0,6.424
28,37.3,67.828,1,3.23,2.63,1.166,0,1,4.355
29,3.24,3.124,0,4.48,3.258,1.31,1,0,5.721
30,12.47,14.124,0,3.827,3.362,1.373,1,0,5.102
31,0.0,0.0,0,2.226,1.265,0.57,0,0,3.718
32,0.0,14.96,0,2.026,1.265,0.722,0,0,3.577
33,45.61,28.269,0,3.012,2.557,0.901,1,0,6.458
34,12.03,18.011,1,1.587,1.654,1.732,1,0,2.352
35,86.81,121.412,3,0.709,2.938,1.416,2,0,2.958
36,132.42,196.332,2,4.478,4.984,1.087,4,0,5.44
37,40.46,85.367,2,5.255,3.001,0.485,0,0,4.838
38,0.0,0.0,0,5.453,2.837,0.735,0,0,6.858
39,20.23,42.683,1,3.921,2.494,1.229,0,0,6.36
40,40.46,85.367,2,3.306,2.832,0.917,0,0,4.301
41,0.0,0.0,0,3.259,2.048,1.111,0,0,3.772
42,26.02,32.897,2,2.193,2.031,0.992,1,0,4.179
43,17.07,25.145,0,1.947,2.005,1.276,0,0,3.061
44,0.0,0.0,0,3.267,2.119,1.25,0,0,4.867
45,0.0,0.0,0,3.267,2.119,1.25,0,0,5.373
46,0.0,0.0,0,3.374,2.118,1.204,0,0,3.522
47,17.07,25.145,0,-0.317,1.155,1.74,0,0,0.55
